date,time,address,lat,long,nb_of_vehicles,vehicle_type,age,weather,surface,injury,meansev
14/04/10,22:20:00,"BONNER AVENUE ,Somerville,Massachusetts,USA",42.380112,-71.093805,,,,,,0,5
15/04/10,22:17:00,"50 RIVER ROAD,Somerville,Massachusetts,USA",42.3975447,-71.093059,,,,,,0,5
16/04/10,19:54:00,"PROSPECT STREET ,Somerville,Massachusetts,USA",42.3773363,-71.0953614,,,,,,0,5
16/04/10,22:05:00,"37 UNION SQUARE,Somerville,Massachusetts,USA",42.3803376,-71.0969377,,,,,,0,5
16/04/10,18:15:00,"POWDER HOUSE BOULEVARD ,Somerville,Massachusetts,USA",42.408238,-71.130799,,,,,,,
18/04/10,12:03:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,0,5
18/04/10,12:24:00,"HEATH STREET ,Somerville,Massachusetts,USA",42.395621,-71.096493,,,,,,0,5
19/04/10,15:09:00,"LAUREL STREET ,Somerville,Massachusetts,USA",42.384238,-71.104546,,,,,,0,5
22/04/10,10:00:00,"RADCLIFFE ROAD ,Somerville,Massachusetts,USA",42.3888757,-71.0940801,,,,,,0,5
22/04/10,20:56:00,"HOLLAND STREET ,Somerville,Massachusetts,USA",42.3998635,-71.1252421,,,,,,,
23/04/10,11:23:00,"25 BOW STREET,Somerville,Massachusetts,USA",42.3814723,-71.0973712,,,,,,0,5
23/04/10,15:42:00,"FLORENCE STREET ,Somerville,Massachusetts,USA",42.3826374,-71.0829021003013,,,,,,,
24/04/10,09:31:00,"WASHINGTON STREET ,Somerville,Massachusetts,USA",42.380706,-71.088501,,,,,,0,5
24/04/10,16:15:00,"167 BROADWAY,Somerville,Massachusetts,USA",42.3889392,-71.0859203341001,,,,,,,
25/04/10,19:25:00,"41 WISCONSIN AVENUE,Somerville,Massachusetts,USA",42.38906945,-71.0834825758963,,,,,,0,5
27/04/10,07:30:00,"146 POWDER HOUSE BOULEVARD,Somerville,Massachusetts,USA",42.40478365,-71.1249046809243,,,,,,0,5
27/04/10,18:48:00,"301 MEDFORD STREET,Somerville,Massachusetts,USA",42.38610925,-71.0938266229739,,,,,,,
29/04/10,11:59:00,"114 BEACON STREET,Somerville,Massachusetts,USA",42.37765285,-71.1058913109911,,,,,,0,5
29/04/10,14:45:00,"HAMLET STREET ,Somerville,Massachusetts,USA",42.3834089,-71.0934165,,,,,,0,5
30/04/10,10:10:00,"SOMERVILLE AVENUE ,Somerville,Massachusetts,USA",42.37726,-71.0892304,,,,,,0,5
03/05/10,07:50:00,"MEDFORD STREET ,Somerville,Massachusetts,USA",42.399562,-71.105364,,,,,,0,5
03/05/10,08:26:00,"WASHINGTON STREET ,Somerville,Massachusetts,USA",42.380706,-71.088501,,,,,,,
04/05/10,10:15:00,"86 JOY STREET,Somerville,Massachusetts,USA",42.3803098894015,-71.0881388750394,,,,,,0,5
04/05/10,13:42:00,"440 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.38179715,-71.102330858016,,,,,,0,5
04/05/10,17:45:00,"56 UNION SQUARE,Somerville,Massachusetts,USA",42.3795825625,-71.0962473125,,,,,,,
04/05/10,18:38:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
07/05/10,15:14:00,"55 DOVER STREET,Somerville,Massachusetts,USA",42.39567625,-71.125420675991,,,,,,0,5
07/05/10,17:50:00,"POWDER HOUSE BOULEVARD ,Somerville,Massachusetts,USA",42.408238,-71.130799,,,,,,0,5
08/05/10,15:00:00,"PEARL STREET ,Somerville,Massachusetts,USA",42.3875513,-71.0937676,,,,,,0,5
09/05/10,00:00:00,"251 HIGHLAND AVENUE,Somerville,Massachusetts,USA",42.39133915,-71.1100261779449,,,,,,0,5
09/05/10,16:30:00,"84 WASHINGTON STREET,Somerville,Massachusetts,USA",42.38081475,-71.0847391865389,,,,,,0,5
10/05/10,18:39:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
11/05/10,08:00:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
12/05/10,02:33:00,"81 SUMMER STREET,Somerville,Massachusetts,USA",42.384692,-71.1010626666667,,,,,,0,5
12/05/10,20:40:00,"POWDER HOUSE BOULEVARD ,Somerville,Massachusetts,USA",42.408238,-71.130799,,,,,,0,5
12/05/10,12:25:00,"BEECH STREET ,Somerville,Massachusetts,USA",42.3913946,-71.119416,,,,,,,
13/05/10,10:24:00,"238 WASHINGTON STREET,Somerville,Massachusetts,USA",42.37926455,-71.0936052081923,,,,,,0,5
13/05/10,18:11:00,"PAULINA STREET ,Somerville,Massachusetts,USA",42.3999206,-71.1251908,,,,,,,
14/05/10,16:17:00,"MCGRATH HIGHWAY ,Somerville,Massachusetts,USA",42.3746562,-71.0838545,,,,,,0,5
14/05/10,23:42:00,"GARFIELD AVENUE ,Somerville,Massachusetts,USA",42.3891611,-71.0866101,,,,,,0,5
15/05/10,09:57:00,"151 SUMMER STREET,Somerville,Massachusetts,USA",42.38630325,-71.1052103978013,,,,,,0,5
15/05/10,11:25:00,"80 POWDER HOUSE BOULEVARD ,Somerville,Massachusetts,USA",42.4031075,-71.1213878574446,,,,,,0,5
15/05/10,12:00:00,"206 POWDER HOUSE BOULEVARD,Somerville,Massachusetts,USA",42.4064360650788,-71.1281220573405,,,,,,0,5
16/05/10,01:02:00,"CENTRAL STREET ,Somerville,Massachusetts,USA",42.3861039,-71.1050562,,,,,,0,5
16/05/10,02:00:00,"WALNUT STREET ,Somerville,Massachusetts,USA",42.3864694,-71.093478,,,,,,0,5
16/05/10,17:04:00,"24 MORELAND STREET,Somerville,Massachusetts,USA",42.3970608,-71.0980573044853,,,,,,0,5
17/05/10,02:40:00,"WASHINGTON STREET,Somerville,Massachusetts,USA",42.380706,-71.088501,,,,,,0,5
17/05/10,17:01:00,"ELM STREET ,Somerville,Massachusetts,USA",42.3929743,-71.1203776,,,,,,0,5
19/05/10,17:15:00,"HOLLAND STREET ,Somerville,Massachusetts,USA",42.3998635,-71.1252421,,,,,,0,5
19/05/10,19:12:00,"TEMPLE ROAD ,Somerville,Massachusetts,USA",42.3956752,-71.088955,,,,,,0,5
19/05/10,20:10:00,"PROSPECT STREET,Somerville,Massachusetts,USA",42.3773363,-71.0953614,,,,,,,
19/05/10,12:11:00,"SCHOOL STREET ,Somerville,Massachusetts,USA",42.385866,-71.09939,,,,,,,
20/05/10,09:21:00,"SUMMER STREET ,Somerville,Massachusetts,USA",42.3818556,-71.0979813,,,,,,0,5
20/05/10,13:17:00,"184 PEARL STREET,Somerville,Massachusetts,USA",42.3866017,-71.0912711300628,,,,,,0,5
20/05/10,17:51:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
21/05/10,16:29:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
21/05/10,22:15:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
21/05/10,22:15:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
21/05/10,14:46:00,"MEDFORD STREET ,Somerville,Massachusetts,USA",42.399562,-71.105364,,,,,,,
22/05/10,01:00:00,"209 COLLEGE AVENUE,Somerville,Massachusetts,USA",42.40446945,-71.1170175238611,,,,,,0,5
22/05/10,10:28:00,"COLLEGE AVENUE ,Somerville,Massachusetts,USA",42.405821,-71.117431,,,,,,0,5
22/05/10,11:51:00,"181 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.37763435,-71.08957744066,,,,,,0,5
22/05/10,13:19:00,"95 TEN HILLS ROAD,Somerville,Massachusetts,USA",42.3979367,-71.08608285,,,,,,0,5
22/05/10,13:44:00,"MEDFORD STREET,Somerville,Massachusetts,USA",42.399562,-71.105364,,,,,,0,5
23/05/10,19:05:00,"14 MCGRATH HIGHWAY,Somerville,Massachusetts,USA",42.373999,-71.0837988,,,,,,0,5
24/05/10,13:58:00,"PEARL STREET ,Somerville,Massachusetts,USA",42.3875513,-71.0937676,,,,,,0,5
24/05/10,17:31:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
25/05/10,15:51:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
26/05/10,13:51:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
26/05/10,18:33:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,0,5
26/05/10,08:30:00,"214 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.37788865,-71.0912445325633,,,,,,,
27/05/10,13:45:00,"PEARL STREET ,Somerville,Massachusetts,USA",42.3875513,-71.0937676,,,,,,,
28/05/10,19:05:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
28/05/10,19:43:00,"118 HOLLAND STREET,Somerville,Massachusetts,USA",42.39934265,-71.1251098356741,,,,,,0,5
